"","wk","wk_name","politician_id","profile_url","party_id","party","listenplatz","titel","vorname","nachname","geburtsname","geschlecht","geburtsjahr","ausbildung","wohnort","beruf","aw_fragen","aw_beantwortet"
"161",185,"Offenbach",145888,"https://www.abgeordnetenwatch.de/profile/bjoern-simon",2,"CDU",NA,NA,"Björn","Simon",NA,"m",1981,NA,NA,"MdB",34,2
"162",185,"Offenbach",159625,"https://www.abgeordnetenwatch.de/profile/ernestos-varvaroussis",4,"FDP",NA,NA,"Ernestos","Varvaroussis",NA,"m",1963,"Diplom-Ingenieur, MBA","Heusenstamm","Unternehmer",NA,NA
"163",185,"Offenbach",79479,"https://www.abgeordnetenwatch.de/profile/wolfgang-strengmann-kuhn",5,"Bündnis 90/Die Grünen",NA,NA,"Wolfgang","Strengmann-Kuhn",NA,"m",1964,"Wirtschaftswissenschaftler",NA,"MdB",16,8
"164",185,"Offenbach",78879,"https://www.abgeordnetenwatch.de/profile/christine-buchholz",8,"DIE LINKE",3,NA,"Christine","Buchholz",NA,"f",1971,"Studium in Erziehungs- und Sozialwissenschaften",NA,"MdB",40,36
"165",185,"Offenbach",146828,"https://www.abgeordnetenwatch.de/profile/tuna-firat",1,"SPD",NA,NA,"Tuna","Firat",NA,"m",1981,"Jurist","Dietzenbach","Rechtsanwalt",NA,NA
"166",186,"Darmstadt",177253,"https://www.abgeordnetenwatch.de/profile/mario-pingel",16,"Die PARTEI",NA,NA,"Mario","Pingel","Pingel","m",1985,"Ja","Darmstadt","Chef de Rang",NA,NA
"167",186,"Darmstadt",176839,"https://www.abgeordnetenwatch.de/profile/anna-schupp-0",15,"MLPD",NA,NA,"Anna","Schupp",NA,NA,NA,NA,NA,NA,NA,NA
"168",186,"Darmstadt",176125,"https://www.abgeordnetenwatch.de/profile/harald-uhl",7,"FREIE WÄHLER",NA,NA,"Harald","Uhl",NA,"m",NA,NA,"Darmstadt",NA,NA,NA
"169",186,"Darmstadt",176116,"https://www.abgeordnetenwatch.de/profile/gerold-himenz",201,"dieBasis",NA,NA,"Gerold","Himenz",NA,NA,NA,NA,NA,NA,1,NA
"170",186,"Darmstadt",145889,"https://www.abgeordnetenwatch.de/profile/astrid-mannes",2,"CDU",NA,NA,"Astrid","Mannes",NA,"f",1967,"Magister in den Fächern Geschichte, Politikwissenschaft und Öffentliches Recht",NA,"MdB",68,68
"171",186,"Darmstadt",175751,"https://www.abgeordnetenwatch.de/profile/julia-von-buttlar",4,"FDP",NA,"Dr.","Julia","von Buttlar","von Keussler","f",1971,"Studium der Rechtswissenschaft","Darmstadt","Beamtin",NA,NA
"172",186,"Darmstadt",119788,"https://www.abgeordnetenwatch.de/profile/daniela-wagner",5,"Bündnis 90/Die Grünen",NA,NA,"Daniela","Wagner",NA,"f",1957,"Studium der Rechts-, Politik- und Wirtschaftswissenschaften (ohne Abschluss)",NA,"MdB",39,38
"173",186,"Darmstadt",175393,"https://www.abgeordnetenwatch.de/profile/andreas-larem",1,"SPD",NA,NA,"Andreas","Larem",NA,"m",1964,"Groß- und Außenhandelskaufmann","Messel","Standesbeamter",NA,NA
"174",186,"Darmstadt",175344,"https://www.abgeordnetenwatch.de/profile/firat-turgut-wenzel",8,"DIE LINKE",10,NA,"Firat","Turgut-Wenzel","Fırat Turğut","m",1987,"B.A. Klassische Archäologie und Geschichte","Darmstadt","Selbständig in der IT-Branche",NA,NA
"175",187,"Odenwald",177269,"https://www.abgeordnetenwatch.de/profile/mitja-stachowiak",200,"Klimaliste",NA,NA,"Mitja","Stachowiak","1993",NA,NA,"Elektroingenieur (B.Sc.)",NA,NA,NA,NA
"176",187,"Odenwald",176840,"https://www.abgeordnetenwatch.de/profile/dieter-stein",15,"MLPD",NA,NA,"Dieter","Stein",NA,NA,NA,NA,NA,"Arzt",NA,NA
"177",187,"Odenwald",176414,"https://www.abgeordnetenwatch.de/profile/kim-pfaff",193,"Volt",NA,NA,"Kim","Pfaff","Perner","f",1990,"Lehrerin","Rödermark","Lehrerin (Integrierte Gesamtschule)",NA,NA
"178",187,"Odenwald",176377,"https://www.abgeordnetenwatch.de/profile/werner-krebs",201,"dieBasis",NA,NA,"Werner","Krebs",NA,"m",1950,"Diplom Pädagoge","64720 Michelstadt","Sozialtherapeut",NA,NA
"179",187,"Odenwald",159624,"https://www.abgeordnetenwatch.de/profile/laura-schulz",7,"FREIE WÄHLER",NA,NA,"Laura","Schulz",NA,"f",1994,"Studentin ",NA,"Studentin (Medienwissenschaft/Politikwissenschaft), Geschäftsführerin ",NA,NA
"180",187,"Odenwald",79150,"https://www.abgeordnetenwatch.de/profile/patricia-lips",2,"CDU",NA,NA,"Patricia","Lips",NA,"f",1963,"Handelsfachwirtin","Rödermark","MdB",19,19
"181",187,"Odenwald",175776,"https://www.abgeordnetenwatch.de/profile/mathias-zeuner",4,"FDP",NA,NA,"Mathias","Zeuner",NA,"m",1966,NA,"Pfungstadt","IT Management, IT Projektmanagementberatung",1,1
"182",187,"Odenwald",159644,"https://www.abgeordnetenwatch.de/profile/philip-kraemer",5,"Bündnis 90/Die Grünen",6,NA,"Philip","Krämer",NA,"m",1992,NA,NA,"Politiker",NA,NA
"183",187,"Odenwald",175345,"https://www.abgeordnetenwatch.de/profile/marlene-wenzl",8,"DIE LINKE",11,NA,"Marlene","Wenzl",NA,"f",2002,NA,"Michelstadt","Abiturientin",NA,NA
"184",187,"Odenwald",78792,"https://www.abgeordnetenwatch.de/profile/jens-zimmermann",1,"SPD",NA,NA,"Jens","Zimmermann",NA,"m",1981,"Diplom-Kaufmann",NA,"MdB",33,32
"185",188,"Bergstraße",177265,"https://www.abgeordnetenwatch.de/profile/gabriele-ermen",149,"UNABHÄNGIGE",NA,NA,"Gabriele","Ermen",NA,NA,NA,NA,NA,NA,NA,NA
"186",188,"Bergstraße",165416,"https://www.abgeordnetenwatch.de/profile/kerstin-buchner",7,"FREIE WÄHLER",7,NA,"Kerstin","Buchner",NA,"f",1965,"Diplom-Ingenieurin","Heppenheim","Ideenmanager/Produktmanager",NA,NA
"187",188,"Bergstraße",165416,"https://www.abgeordnetenwatch.de/profile/kerstin-buchner",7,"FREIE WÄHLER",7,NA,"Kerstin","Buchner",NA,"f",1965,"Diplom-Ingenieurin","Heppenheim","Ideenmanager/Produktmanager",NA,NA
"188",188,"Bergstraße",176136,"https://www.abgeordnetenwatch.de/profile/ina-rodewald",201,"dieBasis",NA,NA,"Ina","Rodewald",NA,NA,NA,NA,NA,NA,NA,NA
"189",188,"Bergstraße",165416,"https://www.abgeordnetenwatch.de/profile/kerstin-buchner",7,"FREIE WÄHLER",NA,NA,"Kerstin","Buchner",NA,"f",1965,"Diplom-Ingenieurin","Heppenheim","Ideenmanager/Produktmanager",NA,NA
"190",188,"Bergstraße",165416,"https://www.abgeordnetenwatch.de/profile/kerstin-buchner",7,"FREIE WÄHLER",NA,NA,"Kerstin","Buchner",NA,"f",1965,"Diplom-Ingenieurin","Heppenheim","Ideenmanager/Produktmanager",NA,NA
"191",188,"Bergstraße",79135,"https://www.abgeordnetenwatch.de/profile/michael-meister",2,"CDU",NA,NA,"Michael","Meister",NA,"m",1961,"Dipl. Mathematiker",NA,"MdB",11,NA
"192",188,"Bergstraße",122050,"https://www.abgeordnetenwatch.de/profile/till-mansmann",4,"FDP",NA,NA,"Till","Mansmann",NA,"m",1968,"Diplom Physiker (Universität Frankfurt/Main)",NA,"MdB",6,6
"193",188,"Bergstraße",145995,"https://www.abgeordnetenwatch.de/profile/moritz-mueller",5,"Bündnis 90/Die Grünen",16,NA,"Moritz","Müller",NA,"m",1992,"Ethnologe,  Politikwissenschaftler","Bensheim","Doktorand",NA,NA
"194",188,"Bergstraße",175499,"https://www.abgeordnetenwatch.de/profile/sven-wingerter",1,"SPD",NA,NA,"Sven","Wingerter",NA,"m",1980,"Magister Politikwissenschaft und Sozial- und Wirtschaftsgeschichte",NA,"Vorsitzender DGB-
Kreisverband 
Bergstraße",NA,NA
"195",188,"Bergstraße",146138,"https://www.abgeordnetenwatch.de/profile/sascha-bahl",8,"DIE LINKE",NA,NA,"Sascha","Bahl",NA,"m",1976,"Fachinformatiker",NA,"Projektleiter",NA,NA
